Date,Close,Open,High,Low,Adj Close,Volume
5/19/2011,63.580002,63.59,64.660004,63.419998,39.317959,3663148
5/20/2011,62.66,63.860001,64.5,62.009998,38.749031,13407826
5/23/2011,61.23,61.5,61.98,60.560001,37.864712,4552334
5/24/2011,61.689999,61.360001,62.57,61.200001,38.149174,3002403
5/25/2011,61.169998,60.799999,61.52,60.32,37.827606,4014507
5/26/2011,60.830002,61.84,62.34,60.5,37.617352,3740474
5/27/2011,61.299999,61.549999,61.970001,60.759998,37.907997,2783020
5/30/2011,61.919998,61.599998,62.5,61.5,38.291409,1705427
5/31/2011,64.260002,63,64.629997,63,39.738468,5749166
6/1/2011,63.41,64.699997,64.699997,63,39.212826,3318160
6/2/2011,61.459999,62.619999,62.720001,61.459999,38.006943,2244029
6/3/2011,62.419998,61.779999,62.490002,61.02,38.600613,3445591
6/6/2011,62.860001,62.419998,63.419998,62.16,38.872704,2590477
6/7/2011,62.599998,63.119999,63.439999,62.43,38.711922,2684785
6/8/2011,62.240002,62.290001,62.5,61.150002,38.4893,3079360
6/9/2011,64,62.299999,64.43,62.040001,39.577679,3624012
6/10/2011,63.150002,63.810001,64.519997,62.990002,39.05204,3692231
6/13/2011,63.189999,63.330002,63.669998,62.5,39.076778,1254374
6/14/2011,64.529999,63.779999,64.720001,63.779999,39.905434,2928840
6/15/2011,63.099998,64.419998,64.830002,63.040001,39.021114,3328638
6/16/2011,62.849998,62.25,62.849998,61.900002,38.866516,4199147
6/17/2011,63.290001,62.630001,64.32,61.75,39.138618,8911349
6/20/2011,62.799999,62.439999,62.939999,61.970001,38.835602,3041172
6/21/2011,65.199997,63.43,65.199997,63.32,40.319763,3865519
6/22/2011,65.269997,65.300003,65.699997,64.860001,40.363052,3065439
6/23/2011,64.440002,65,65.300003,63.82,39.849781,3383147
6/24/2011,64.290001,65.190002,66,64.110001,39.757023,3685427
6/27/2011,63.68,63.82,63.93,63.150002,39.379795,3290599
6/28/2011,64.720001,64.25,64.889999,63.77,40.022934,2771945
6/29/2011,66.309998,65.349998,66.639999,65.18,41.006184,3849372
6/30/2011,67.57,66.290001,67.57,66.290001,41.785374,3454836
7/1/2011,67.839996,67.879997,68.099998,67,41.952339,3037494
7/4/2011,67.699997,67.849998,68.279999,67.559998,41.865765,1654319
7/5/2011,67.800003,67.510002,68.610001,67.360001,41.927608,3130310
7/6/2011,68.449997,67.940002,68.449997,67.290001,42.329563,3318280
7/7/2011,68.75,68.75,69.089996,68.5,42.515087,2903141
7/8/2011,68.370003,69,69.800003,68.169998,42.28009,3635523
7/11/2011,66.949997,67.889999,68.330002,66.57,41.401966,4006465
7/12/2011,67,65.300003,67.089996,64.730003,41.432888,5482013
7/13/2011,68.230003,67,68.400002,66.82,42.19352,3343257
7/14/2011,68.5,67.620003,68.870003,67.599998,42.360489,3347376
7/15/2011,67.910004,68.160004,68.400002,67.43,41.995636,5169439
7/18/2011,67.43,67.550003,68.099998,67.040001,41.698799,3268018
7/19/2011,67,67.610001,68.440002,66.970001,41.432888,3660837
7/20/2011,66.199997,67.370003,68.099998,65.730003,40.938164,5173542
7/21/2011,66.760002,66.300003,67.169998,65.480003,41.28447,4126530
7/22/2011,66.57,67.209999,67.370003,65.849998,41.166969,2849831
7/25/2011,67.339996,65.980003,67.589996,65.839996,41.643143,2800821
7/26/2011,66.75,67.599998,67.860001,66.610001,41.278282,2358518
7/27/2011,65.860001,66.25,66.93,65.75,40.727905,4357074
7/28/2011,63.09,62.349998,63.09,61.849998,39.014938,9132404
7/29/2011,63.220001,62.5,63.75,62.220001,39.095329,4776285
8/1/2011,61.209999,64.5,64.900002,61.209999,37.852341,6005572
8/2/2011,60.150002,60.549999,61.299999,59.709999,37.196838,5683186
8/3/2011,58.509998,58.84,60.09,57.560001,36.182659,7181814
8/4/2011,56.630001,59.450001,59.860001,56.130001,35.020065,8479631
8/5/2011,53.990002,53.650002,56.459999,52.619999,33.387489,14846442
8/8/2011,50.990002,52.84,53.540001,50.529999,31.53228,11890210
8/9/2011,52.110001,50.759998,52.740002,46.924999,32.224895,14928292
8/10/2011,49.529999,54.59,54.650002,49.200001,30.62941,12889172
8/11/2011,52.23,51.299999,52.709999,48.919998,32.299099,11515134
8/12/2011,54.150002,52.25,54.540001,50.93,33.486431,7542741
8/15/2011,54.32,55.150002,55.41,54.18,33.59156,4568160
8/16/2011,53.98,53.790001,54,52.470001,33.381298,4365468
8/17/2011,53.5,53.240002,54.049999,52.380001,33.084473,4138760
8/18/2011,50.52,52.650002,52.700001,49.73,31.241632,8795215
8/19/2011,48.599998,50.130001,50.330002,47.75,30.0543,10009378
8/22/2011,47.84,47.915001,48.990002,47.310001,29.58432,5635564
8/23/2011,48.279999,48.439999,49.599998,47.525002,29.856407,5109854
8/24/2011,49.895,48.299999,50.77,47.900002,30.855129,6051328
8/25/2011,48.25,50.5,51.02,46.82,29.837864,7619010
8/26/2011,47.625,48.25,48.34,46.099998,29.451355,7029617
8/29/2011,48.360001,48.57,49.299999,47.904999,29.905886,3182868
8/30/2011,48.025002,48.544998,48.68,47.115002,29.698723,4821569
8/31/2011,49.669998,48.150002,50.369999,47.900002,30.71599,7048357
9/1/2011,48.825001,49.605,49.700001,47.990002,30.193447,6017203
9/2/2011,47.064999,47.779999,47.939999,46.299999,29.105055,6103952
9/5/2011,44.455002,45.66,45.919998,43.889999,27.491026,7306412
9/6/2011,44.400002,44.445,45.619999,43.950001,27.457022,6734391
9/7/2011,46.25,45.73,46.439999,45.16,28.601059,5423198
9/8/2011,46.615002,46,47.165001,45.455002,28.826778,5400397
9/9/2011,44.200001,45.810001,46.279999,43.915001,27.333336,6479348
9/12/2011,43.66,42.689999,43.825001,42.189999,26.999399,7313135
