Date,Close/Last,Volume,Open,High,Low
05/18/2021,$135.02,18555650,$134,$138.4,$131.49
05/17/2021,$132.5,39715020,$137.1562,$137.79,$130.2532
05/14/2021,$141.2,20325380,$137.68,$142.25,$131.67
05/13/2021,$135.75,13005370,$142.25,$142.3286,$131.28
05/12/2021,$140.25,5307514,$140.9,$144.77,$138.75
05/11/2021,$142.73,8257386,$139.1,$144.35,$136.01
05/10/2021,$146.73,5827152,$150.284,$150.5,$144.52
05/07/2021,$151.21,7133990,$156.5,$157.0543,$148.78
05/06/2021,$153.64,8528976,$161.91,$162.105,$150.7
05/05/2021,$162.33,3590067,$169.3,$170.18,$162.12
05/04/2021,$168.9,4658011,$167.015,$169.04,$161.96
05/03/2021,$168.11,3149738,$173.19,$173.44,$167.8
04/30/2021,$172.71,3579957,$173.004,$176.45,$172.01
04/29/2021,$177.68,3116021,$182.75,$183.22,$173.35
04/28/2021,$180,2409708,$174.437,$181.67,$173.351
04/27/2021,$177.94,2882972,$176.165,$179.61,$174.8
04/26/2021,$174.88,2549403,$175.21,$176.0305,$171.07
04/23/2021,$174.25,3335128,$172.919,$178.25,$172
04/22/2021,$170.71,3856499,$168.49,$176.92,$168.43
04/21/2021,$167.07,3878608,$168.09,$170.32,$164.12
04/20/2021,$169.57,4574999,$173.184,$175,$165.52
04/19/2021,$174.58,3125736,$177.32,$178.72,$171.5
04/16/2021,$178.69,3058294,$176.012,$179.51,$172.94
04/15/2021,$175.35,2894865,$177,$178.24,$174.25
04/14/2021,$176.43,2938566,$179.5,$181.4665,$175.31
04/13/2021,$177.95,3573584,$175.265,$178.61,$172.14
04/12/2021,$176.49,2619833,$179.68,$181.49,$176.25
04/09/2021,$179.5,2910167,$179.62,$182.46,$177.25
04/08/2021,$180.18,2625274,$181.648,$183.9,$179.3
04/07/2021,$179.94,6663462,$189.38,$190.62,$179.47
04/06/2021,$190.03,3565634,$188.7,$194.48,$187.52
04/05/2021,$186.69,2591425,$191.66,$192.1,$185.81
04/01/2021,$188.24,2921447,$192.5,$193.99,$185.37
03/31/2021,$187.94,3079510,$185.43,$192.275,$185.1301
03/30/2021,$183.1,2903262,$182.35,$185.23,$178.38
03/29/2021,$182.5,4508821,$175.36,$185.46,$173.5
03/26/2021,$174.4,3562912,$178.416,$181,$168
03/25/2021,$176.16,5264100,$173.1,$179.54,$170.5
